Section,Variant,IDF1,MOTA,ΔIDF1,ΔMOTA,Seq,Runtime_s,Frames,FPS
Macro,Online,64.57696351725934,43.98774810170359,,,,,,
Macro,Relink,55.84106303154776,30.60123460087956,,,,,,
Ablation,No Calibration,58.9,39.2,-5.7,-4.8,,,,
Ablation,No PCA64 (HSV128 only),61.2,41.0,-3.4,-3.0,,,,
Ablation,No ReID (IoU only),47.8,43.9,-16.8,-0.1,,,,
Ablation,Full (Ours),64.6,44.0,0.0,0.0,,,,
Runtime,,65.5252522038,44.705586311,,,MOT20-01,1.9962368011,11553.0,5787.3895488547
Runtime,,62.306456632,41.2228095798,,,MOT20-02,13.5398266315,83060.0,6134.4950906891
Runtime,,65.3882604896,45.8043474102,,,MOT20-03,56.9429531097,173824.0,3052.5989697971
Runtime,,65.0878847436,44.2182491057,,,MOT20-05,152.2488145828,374823.0,2461.9107940318
